id,carid,date,cost
1,93,2017-08-08 23:10:15,19619
2,53,2020-02-17 14:42:46,19963
3,52,2019-03-19 09:42:06,17230
4,28,2017-07-21 10:11:28,12350
5,54,2018-04-22 11:23:49,5166
6,43,2016-12-25 19:59:00,12645
7,46,2017-12-05 14:08:26,10271
8,57,2018-01-14 15:53:25,15754
9,31,2019-05-02 09:15:05,5165
10,90,2018-07-20 00:52:41,7381
11,18,2017-04-16 14:54:20,17526
12,53,2017-12-05 03:42:54,19858
13,78,2018-12-13 09:50:26,19481
14,32,2017-08-22 17:35:06,16175
15,79,2019-06-29 05:47:41,5225
16,69,2018-08-03 01:51:41,17406
17,92,2017-03-08 16:49:30,18872
18,33,2019-02-23 04:12:44,17439
19,8,2017-12-13 22:18:50,5509
20,7,2017-11-04 06:24:44,13730
21,96,2017-10-14 09:09:18,14510
22,71,2019-09-07 12:18:28,16758
23,93,2018-03-17 00:18:18,18206
24,41,2016-11-21 06:34:46,17378
25,45,2020-03-12 09:27:47,15199
26,59,2017-11-19 17:49:23,14904
27,29,2019-04-09 23:20:57,16186
28,20,2018-10-26 00:50:06,5680
29,77,2016-12-19 11:00:51,10771
30,29,2017-07-05 12:59:15,7704
31,27,2017-04-09 19:49:35,11793
32,99,2018-03-06 16:46:56,10442
33,54,2019-07-14 20:38:05,7476
34,30,2019-03-08 06:12:06,16706
35,47,2018-11-26 19:52:37,11191
36,61,2019-09-11 01:11:17,11184
37,44,2019-11-30 16:19:49,9501
38,13,2017-09-04 08:27:25,9082
39,62,2018-10-09 17:20:02,9266
40,84,2019-04-15 16:18:12,5207
41,3,2020-03-18 09:02:39,17343
42,49,2018-09-28 23:01:22,8801
43,89,2018-05-10 03:48:26,7137
44,58,2019-02-20 23:00:05,10366
45,80,2017-11-22 19:13:23,5260
46,67,2018-04-03 05:32:50,13823
47,43,2018-10-27 19:33:26,12352
48,2,2018-08-29 06:03:54,15508
49,66,2018-03-28 11:58:37,14350
50,59,2018-07-30 20:02:59,6314
51,18,2017-11-17 06:21:16,17808
52,70,2018-02-19 07:12:02,11699
53,22,2018-06-26 08:22:38,7043
54,18,2019-04-25 02:29:54,10694
55,87,2017-04-20 12:46:36,6245
56,61,2019-01-09 08:24:32,11391
57,15,2017-04-17 23:53:45,19889
58,2,2020-08-11 22:15:09,19779
59,95,2019-09-30 19:18:40,19996
60,48,2016-12-29 18:37:16,15687
61,8,2018-10-20 07:59:42,17497
62,89,2018-05-16 20:17:57,5283
63,4,2019-11-06 09:18:44,13533
64,91,2020-04-28 18:31:50,14373
65,64,2017-09-17 09:08:57,11739
66,14,2020-03-02 13:44:59,8764
67,7,2018-04-13 11:26:22,10754
68,59,2017-11-04 04:36:02,12954
69,59,2017-01-23 07:53:34,10240
70,3,2018-12-23 15:34:41,6208
71,14,2017-02-28 01:03:37,19054
72,49,2017-09-09 01:59:12,8586
73,48,2019-07-01 20:25:41,14827
74,80,2020-08-23 00:20:37,14058
75,17,2016-11-23 03:53:32,11894
76,100,2019-10-01 16:48:51,8628
77,4,2019-04-17 16:30:32,7104
78,42,2017-05-05 23:16:35,11130
