2087,491,3955,1064,6607
2026,1981,2757,1106,7088
2046,874,1261,1043,7224
2002,567,898,1018,10564
2041,1859,955,1083,10751
2035,99,2790,1085,10914
2086,1556,4400,1101,14002
2004,1540,2046,1071,9993
2092,1267,1988,1099,7171
2052,103,3074,1060,14959
2009,1023,950,1017,11153
2078,1637,3335,1084,11152
2004,1515,1518,1072,9748
2067,399,4092,1016,12950
2028,687,1463,1096,14445
2051,1751,3808,1067,8548
2080,890,4485,1047,7346
2063,841,4794,1040,10872
2030,1500,2784,1070,14379
2042,1149,1664,1039,7033
2062,1615,2521,1073,14590
2019,1573,1225,1029,7289
2038,1080,1417,1024,8438
2084,134,1637,1098,13110
2076,1784,4515,1109,13600
2063,912,727,1077,9736
2040,1125,2411,1033,8980
2011,956,1747,1084,10518
2012,1415,956,1089,10159
